plate_number,true_decision,true_category,pred_decision,pred_category,description,nli_true_label,nli_true_conf,nli_pred_label,nli_pred_conf,zs_decision,zs_decision_conf,zs_category,zs_category_conf,matched_keywords,reason
rehmat20,Reject,C,Approve,None,"""Rehmat is an Arabic word meaning mercy and is a significant religious term in Islam, often referring to the mercy of God.""",neutral,0.72,neutral,0.849,Approve,0.897,A,0.382,,"Description neutral the TRUE hypothesis ('This plate should be rejected due to missing, broken, or incomplete plate.', 0.72) and neutral the PRED hypothesis ('This plate is compliant and should be approved.', 0.85). Zero-shot leans 'Approve' (0.90); top category ~ A (0.38). No category keywords found."
rvrhghts,Reject,C,Approve,None,"""RVR is a common abbreviation for Reverend, a religious title, making the plate a reference to religion.""",contradiction,0.566,neutral,0.972,Approve,0.859,A,0.505,,"Description contradiction the TRUE hypothesis ('This plate should be rejected due to missing, broken, or incomplete plate.', 0.57) and neutral the PRED hypothesis ('This plate is compliant and should be approved.', 0.97). Zero-shot leans 'Approve' (0.86); top category ~ A (0.51). No category keywords found."
SAIIMA,Reject,C,Approve,None,"""The plate SAIIMA is the transliteration of an Arabic word meaning fasting woman, a term with direct religious significance.""",contradiction,0.775,neutral,0.994,Approve,0.658,A,0.466,,"Description contradiction the TRUE hypothesis ('This plate should be rejected due to missing, broken, or incomplete plate.', 0.78) and neutral the PRED hypothesis ('This plate is compliant and should be approved.', 0.99). Zero-shot leans 'Approve' (0.66); top category ~ A (0.47). No category keywords found."
1963merc,Reject,F,Approve,None,referrring to mercy for war of 1963,neutral,0.688,neutral,0.832,Approve,0.938,F,0.255,,"Description neutral the TRUE hypothesis ('This plate should be rejected due to offensive or inappropriate language.', 0.69) and neutral the PRED hypothesis ('This plate is compliant and should be approved.', 0.83). Zero-shot leans 'Approve' (0.94); top category ~ F (0.25). No category keywords found."
4hunnit,Reject,F,Approve,None,"""The term 4hunnit is slang associated with a specific brand and rapper, which has well-known connections to gang culture and criminal activity.""",neutral,0.945,neutral,0.662,Approve,0.799,F,0.752,,"Description neutral the TRUE hypothesis ('This plate should be rejected due to offensive or inappropriate language.', 0.94) and neutral the PRED hypothesis ('This plate is compliant and should be approved.', 0.66). Zero-shot leans 'Approve' (0.80); top category ~ F (0.75). No category keywords found."
500.b3nz,Reject,D,Approve,None,Benz refers to abbrevation for a type of drug,contradiction,0.524,neutral,0.85,Approve,0.781,B,0.308,,"Description contradiction the TRUE hypothesis ('This plate should be rejected due to wrong or non-compliant color.', 0.52) and neutral the PRED hypothesis ('This plate is compliant and should be approved.', 0.85). Zero-shot leans 'Approve' (0.78); top category ~ B (0.31). No category keywords found."
9deuce,Reject,A,Approve,None,"""The word deuce is a common slang term for feces, which is a reference to eliminatory functions.""",neutral,0.619,neutral,0.832,Approve,0.708,F,0.753,,"Description neutral the TRUE hypothesis ('This plate should be rejected due to visibility issues such as faded or blurred characters.', 0.62) and neutral the PRED hypothesis ('This plate is compliant and should be approved.', 0.83). Zero-shot leans 'Approve' (0.71); top category ~ F (0.75). No category keywords found."
alkareem,Reject,C,Approve,None,"""Al-Kareem is one of the 99 names of Allah in Islam, making it a direct and significant religious reference.""",contradiction,0.545,neutral,0.939,Approve,0.918,A,0.321,,"Description contradiction the TRUE hypothesis ('This plate should be rejected due to missing, broken, or incomplete plate.', 0.54) and neutral the PRED hypothesis ('This plate is compliant and should be approved.', 0.94). Zero-shot leans 'Approve' (0.92); top category ~ A (0.32). No category keywords found."
anay.26,Reject,A,Approve,None,"""The sequence ANAY is phonetically and visually very similar to ANAL, a term with a clear sexual meaning.""",neutral,0.947,neutral,0.721,Approve,0.553,F,0.733,,"Description neutral the TRUE hypothesis ('This plate should be rejected due to visibility issues such as faded or blurred characters.', 0.95) and neutral the PRED hypothesis ('This plate is compliant and should be approved.', 0.72). Zero-shot leans 'Approve' (0.55); top category ~ F (0.73). No category keywords found."
fav.357,Reject,F,Approve,None,"""The number 357 refers to the .357 Magnum, a well-known firearm caliber, which is a reference to violence or weaponry.""",neutral,0.947,neutral,0.9,Approve,0.697,F,0.437,,"Description neutral the TRUE hypothesis ('This plate should be rejected due to offensive or inappropriate language.', 0.95) and neutral the PRED hypothesis ('This plate is compliant and should be approved.', 0.90). Zero-shot leans 'Approve' (0.70); top category ~ F (0.44). No category keywords found."
